Global,-0.85861,-0.79151,-0.72661,-0.66381,-0.60321,-0.54481,-0.48861,-0.43461,-0.38281,-0.33331,-0.28601,-0.24091,-0.19801,-0.15741,-0.11911,-0.08331,-0.04971,-0.01841,0.01061,0.03741,0.06191,0.08421,0.10441,0.12261,0.13871,0.15301,0.16541,0.17621,0.18551,0.19341,0.20011,0.20571,0.21031,0.21411,0.21721,0.21971,0.22171,0.22321,0.22451,0.22541,0.22611,0.22661,0.22701,0.22741,0.22761,0.22781,0.22791,0.22801,0.22801,0.22801,0.22801,0.22811,0.22811,0.22811,0.22811,0.22811,0.22811,0.22811,0.22821,0.22821,0.22821,0.22811,0.22811,0.22801,0.22811,0.22811,0.22801,0.22811,0.22821,0.22811,0.22811,0.22821,0.22811,0.22821,0.22821,0.22811,0.22811,0.22811,0.22801,0.22811,0.22821,0.22811,0.22811,0.22811,0.22821,0.22801,0.22791,0.22801,0.22801,0.22831,0.22821,0.22811,0.22831,0.22821,0.22821,0.22831,0.22811,0.22831,0.22851,0.22831
SumMultiStep 1 ,0.21211,0.14771,0.10601,0.08951,0.08801,0.09411,0.10361,0.11471,0.12831,0.14151,0.14551,0.15221,0.16561,0.18021,0.19331,0.20421,0.21261,0.21921,0.22441,0.22611,0.22831,0.23071,0.23281,0.23441,0.23571,0.23651,0.23711,0.23731,0.23731,0.23721,0.23621,0.23531,0.23471,0.23431,0.23391,0.23291,0.23151,0.23011,0.22911,0.22781,0.22721,0.22651,0.22591,0.22541,0.22521,0.22491,0.22481,0.22451,0.22431,0.22431,0.22411,0.22421,0.22411,0.22421,0.22431,0.22421,0.22431,0.22411,0.22431,0.22411,0.22451,0.22431,0.22441,0.22471,0.22441,0.22461,0.22481,0.22461,0.22471,0.22471,0.22471,0.22471,0.22511,0.22501,0.22511,0.22561,0.22541,0.22551,0.22561,0.22551,0.22481,0.22461,0.22461,0.22501,0.22471,0.22481,0.22481,0.22541,0.22461,0.22461,0.22441,0.22441,0.22431,0.22411,0.22441,0.22461,0.22481,0.22411,0.22471,0.22471
SumMultiStep 2,-0.45001,-0.39721,-0.34291,-0.29041,-0.24131,-0.19631,-0.15511,-0.11751,-0.08311,-0.05181,-0.02311,0.00311,0.02711,0.04901,0.06881,0.08671,0.10301,0.11781,0.13101,0.14301,0.15381,0.16341,0.17201,0.17981,0.18661,0.19271,0.19781,0.20261,0.20661,0.21031,0.21351,0.21631,0.21891,0.22111,0.22311,0.22471,0.22581,0.22681,0.22781,0.22871,0.23001,0.23091,0.23181,0.23221,0.23281,0.23381,0.23441,0.23511,0.23551,0.23631,0.23641,0.23681,0.23711,0.23721,0.23781,0.23761,0.23761,0.23771,0.23831,0.23821,0.23711,0.23731,0.23681,0.23641,0.23611,0.23551,0.23561,0.23501,0.23491,0.23391,0.23361,0.23301,0.23251,0.23241,0.23181,0.23141,0.23121,0.23061,0.23091,0.23341,0.23511,0.23711,0.23721,0.23721,0.23591,0.23631,0.23541,0.23591,0.23471,0.23451,0.23411,0.23391,0.23351,0.23221,0.23261,0.23181,0.23171,0.23071,0.23011,0.22971
SumLocal 1,0.39151,0.44201,0.46121,0.46071,0.44851,0.43651,0.42901,0.42531,0.42431,0.42521,0.42731,0.43071,0.43421,0.43881,0.44361,0.44861,0.45351,0.45781,0.46161,0.46441,0.46591,0.46641,0.46521,0.46251,0.45871,0.45441,0.44991,0.44361,0.43741,0.43121,0.42411,0.41721,0.41001,0.40171,0.39321,0.38431,0.37331,0.36011,0.34441,0.33011,0.32181,0.31581,0.31121,0.30631,0.30131,0.29561,0.29081,0.28641,0.28131,0.27661,0.27241,0.26771,0.26401,0.25971,0.25631,0.25291,0.24931,0.24631,0.24411,0.24111,0.23911,0.23711,0.23511,0.23301,0.23201,0.23091,0.22911,0.22821,0.22741,0.22721,0.22651,0.22541,0.22521,0.22491,0.22391,0.22401,0.22371,0.22331,0.22331,0.22311,0.22291,0.22251,0.22281,0.22281,0.22341,0.22221,0.22271,0.22301,0.22211,0.22201,0.22181,0.22161,0.22171,0.22151,0.22171,0.22131,0.22161,0.22161,0.22181,0.22171
SumLocal 2,-0.60331,-0.57121,-0.51371,-0.45041,-0.38921,-0.33211,-0.27981,-0.23041,-0.18281,-0.13531,-0.08651,-0.03661,0.01741,0.07651,0.14211,0.19721,0.25481,0.30271,0.34201,0.37541,0.40341,0.42681,0.44581,0.46061,0.47071,0.47681,0.48031,0.48091,0.47841,0.47441,0.46831,0.46171,0.45461,0.44731,0.43871,0.43091,0.42391,0.41621,0.40881,0.40151,0.39501,0.38861,0.38181,0.37601,0.36901,0.36281,0.35711,0.35121,0.34511,0.33991,0.33401,0.32971,0.32421,0.31951,0.31451,0.30931,0.30461,0.29991,0.29571,0.29191,0.28681,0.28311,0.27971,0.27601,0.27281,0.27061,0.26691,0.26551,0.26201,0.25991,0.25781,0.25571,0.25371,0.25211,0.25011,0.24881,0.24711,0.24551,0.24401,0.24261,0.24091,0.24011,0.23901,0.23781,0.23711,0.23591,0.23491,0.23431,0.23371,0.23331,0.23291,0.23231,0.23111,0.23031,0.23061,0.23001,0.22951,0.22841,0.22801,0.22871
SumLocalReg,0.11761,0.22561,0.30461,0.34881,0.36571,0.36641,0.35901,0.34821,0.33621,0.32411,0.31201,0.30111,0.29131,0.28311,0.27571,0.27051,0.26581,0.26241,0.25791,0.25371,0.28231,0.28521,0.28561,0.28661,0.28771,0.28941,0.29131,0.29371,0.29521,0.29761,0.29941,0.30101,0.30261,0.30481,0.30651,0.30831,0.30861,0.30711,0.30471,0.30181,0.29921,0.29551,0.29131,0.28661,0.28301,0.27901,0.27631,0.27251,0.27101,0.27111,0.27041,0.27201,0.27331,0.27501,0.27721,0.27991,0.28471,0.28281,0.28251,0.28231,0.28211,0.28231,0.28271,0.28401,0.28381,0.28431,0.28551,0.28471,0.28581,0.28591,0.28591,0.28571,0.28511,0.28421,0.28491,0.28441,0.28361,0.28161,0.27801,0.27741,0.27431,0.27421,0.27181,0.26881,0.26751,0.26501,0.26341,0.26221,0.26101,0.25911,0.25801,0.25901,0.25731,0.25751,0.25721,0.25681,0.25601,0.25511,0.25521,0.25641
SumMultiStepReg,-0.14301,-0.09391,-0.04991,-0.01181,0.02351,0.05791,0.09231,0.12671,0.15921,0.18811,0.21331,0.23321,0.24851,0.26231,0.27421,0.28471,0.29271,0.29881,0.30291,0.30531,0.30561,0.30391,0.30061,0.29521,0.29111,0.28651,0.28181,0.27671,0.27121,0.26691,0.26201,0.25771,0.25381,0.25011,0.24661,0.24421,0.24181,0.23941,0.23761,0.23641,0.23471,0.23311,0.23211,0.23121,0.23061,0.23011,0.22871,0.22791,0.22691,0.22641,0.22551,0.22561,0.22581,0.22521,0.22501,0.22491,0.22551,0.22551,0.22551,0.22521,0.22531,0.22521,0.22481,0.22461,0.22591,0.22511,0.22471,0.22501,0.22421,0.22421,0.22351,0.22441,0.22521,0.22381,0.22481,0.22481,0.22471,0.22481,0.22471,0.22401,0.22361,0.22441,0.22491,0.22451,0.22521,0.22411,0.22381,0.22571,0.22421,0.22361,0.22531,0.22461,0.22491,0.22481,0.22531,0.22471,0.22541,0.22511,0.22521,0.22511
