Global,-0.91771,-0.85061,-0.78591,-0.72331,-0.66301,-0.60491,-0.54921,-0.49571,-0.44441,-0.39551,-0.34901,-0.30481,-0.26301,-0.22351,-0.18641,-0.15161,-0.11931,-0.08931,-0.06171,-0.03641,-0.01331,0.00751,0.02621,0.04281,0.05761,0.07041,0.08161,0.09121,0.09931,0.10621,0.11191,0.11661,0.12061,0.12391,0.12661,0.12871,0.13041,0.13171,0.13281,0.13361,0.13431,0.13481,0.13511,0.13541,0.13551,0.13581,0.13571,0.13581,0.13581,0.13591,0.13601,0.13591,0.13601,0.13591,0.13591,0.13581,0.13571,0.13581,0.13561,0.13591,0.13591,0.13581,0.13591,0.13571,0.13581,0.13581,0.13571,0.13581,0.13571,0.13581,0.13591,0.13561,0.13561,0.13611,0.13571,0.13551,0.13541,0.13561,0.13581,0.13581,0.13601,0.13561,0.13581,0.13591,0.13571,0.13551,0.13561,0.13541,0.13581,0.13571,0.13581,0.13561,0.13581,0.13591,0.13561,0.13531,0.13591,0.13531,0.13641,0.13591
SumMultiStep 1,0.00171,0.10691,0.14191,0.15821,0.15541,0.15711,0.14631,0.13941,0.13761,0.13601,0.13661,0.13501,0.13291,0.13241,0.13051,0.13221,0.13101,0.13151,0.13001,0.13021,0.13351,0.13121,0.13251,0.13221,0.13191,0.13251,0.13481,0.13411,0.13581,0.13181,0.13271,0.13101,0.13141,0.13201,0.13161,0.13291,0.13111,0.13391,0.13421,0.13391,0.13281,0.13211,0.13421,0.13231,0.13231,0.13371,0.13471,0.13361,0.13491,0.13271,0.13231,0.13341,0.13451,0.13271,0.13211,0.13621,0.13451,0.13261,0.13321,0.13591,0.13231,0.13381,0.13331,0.13451,0.13351,0.13591,0.13491,0.13031,0.13421,0.13371,0.13591,0.13551,0.13281,0.13421,0.13391,0.13441,0.13561,0.13671,0.13471,0.13471,0.13391,0.13581,0.13351,0.13581,0.13861,0.13651,0.13541,0.13621,0.12841,0.13431,0.13351,0.13311,0.13321,0.13191,0.13311,0.13321,0.13391,0.13481,0.13381,0.13481
SumMultiStep 2,0.34681,0.26851,0.15161,0.07731,0.04381,0.03941,0.05001,0.06461,0.07841,0.08961,0.09811,0.10461,0.10981,0.11341,0.11631,0.11901,0.12121,0.12331,0.12491,0.12661,0.12781,0.12921,0.13011,0.13121,0.13251,0.13291,0.13331,0.13391,0.13441,0.13491,0.13501,0.13531,0.13571,0.13591,0.13631,0.13651,0.13711,0.13741,0.13751,0.13741,0.13741,0.13781,0.13791,0.13821,0.13841,0.13841,0.13871,0.13851,0.13901,0.13861,0.13881,0.13841,0.13831,0.13921,0.13861,0.13841,0.13901,0.13791,0.13871,0.13921,0.13871,0.13871,0.13801,0.13881,0.13871,0.13851,0.13921,0.13851,0.13881,0.13941,0.13921,0.13861,0.13911,0.13911,0.13911,0.13931,0.13881,0.13981,0.13921,0.13951,0.13981,0.13851,0.13911,0.13981,0.14001,0.14051,0.13981,0.14001,0.13951,0.13911,0.13831,0.13811,0.13881,0.13751,0.13871,0.13801,0.13721,0.13781,0.13711,0.13941
SumLocal 1,0.03921,0.07181,0.11541,0.15241,0.15041,0.17091,0.18851,0.19941,0.20451,0.20681,0.20571,0.20201,0.19721,0.19161,0.18481,0.17851,0.17241,0.16641,0.16121,0.15651,0.15231,0.14931,0.14571,0.14341,0.14081,0.13841,0.13721,0.13591,0.13401,0.13251,0.13231,0.13171,0.13041,0.13041,0.12911,0.12871,0.12861,0.12841,0.12821,0.12831,0.12771,0.12741,0.12641,0.12651,0.12631,0.12761,0.12691,0.12681,0.12661,0.12631,0.12671,0.12651,0.12661,0.12591,0.12631,0.12781,0.12661,0.12721,0.12691,0.12681,0.12721,0.12631,0.12461,0.12801,0.12591,0.12871,0.12721,0.12621,0.12611,0.12731,0.12811,0.12761,0.12681,0.12741,0.12761,0.12611,0.12861,0.12591,0.12801,0.12841,0.12861,0.12831,0.12931,0.12841,0.12871,0.12781,0.12771,0.12751,0.12851,0.12701,0.12731,0.12781,0.12831,0.12941,0.13071,0.12721,0.12881,0.13011,0.12841,0.13041
SumLocal 2,-0.18911,0.01001,0.11251,0.16731,0.19851,0.21781,0.22851,0.23131,0.22761,0.21901,0.21021,0.19931,0.18881,0.18021,0.17171,0.16471,0.15951,0.15621,0.15381,0.15241,0.15111,0.14951,0.14931,0.14811,0.14671,0.14531,0.14451,0.14371,0.14351,0.14181,0.14111,0.14081,0.14011,0.14041,0.13931,0.13861,0.13831,0.13811,0.13831,0.13861,0.13811,0.13791,0.13761,0.13811,0.13741,0.13741,0.13651,0.13671,0.13601,0.13661,0.13601,0.13611,0.13601,0.13581,0.13671,0.13551,0.13631,0.13661,0.13551,0.13501,0.13461,0.13501,0.13431,0.13561,0.13471,0.13511,0.13391,0.13441,0.13641,0.13451,0.13401,0.13411,0.13431,0.13361,0.13381,0.13361,0.13371,0.13471,0.13251,0.13361,0.13471,0.13321,0.13291,0.13291,0.13311,0.13471,0.13371,0.13351,0.13271,0.13381,0.13281,0.13191,0.13291,0.13211,0.13371,0.13301,0.13291,0.13331,0.13271,0.13261
SumLocalReg,0.26191,0.22031,0.17571,0.15461,0.14791,0.14421,0.14271,0.14451,0.14521,0.14691,0.14811,0.15071,0.14891,0.14941,0.14891,0.14981,0.15011,0.14831,0.15141,0.14841,0.14931,0.14781,0.14651,0.14751,0.14391,0.14721,0.14791,0.14571,0.14881,0.14871,0.14441,0.14601,0.14711,0.14721,0.14641,0.14481,0.14631,0.14361,0.14601,0.14481,0.14371,0.14321,0.14371,0.14171,0.14361,0.14471,0.14211,0.14131,0.13981,0.14091,0.14421,0.14251,0.14151,0.13851,0.14001,0.14181,0.14231,0.14191,0.14231,0.14041,0.14011,0.14141,0.14141,0.14071,0.14071,0.14251,0.14181,0.13881,0.14141,0.14291,0.14171,0.14201,0.14151,0.13931,0.14261,0.14091,0.14061,0.14101,0.14221,0.14081,0.14171,0.13981,0.14171,0.14171,0.14001,0.13951,0.14331,0.14041,0.14241,0.14101,0.14281,0.14071,0.14071,0.13921,0.14001,0.14061,0.13981,0.14141,0.14111,0.14021
SumMultiStepReg,0.13211,0.12121,0.12611,0.13291,0.14631,0.14731,0.14781,0.14261,0.13861,0.13421,0.13391,0.13401,0.13371,0.13311,0.13341,0.13251,0.13401,0.13301,0.13241,0.13351,0.13371,0.13111,0.13351,0.13291,0.13351,0.13111,0.13361,0.13231,0.13251,0.13321,0.13261,0.13271,0.13341,0.13151,0.13201,0.13191,0.13331,0.13301,0.13331,0.13291,0.13081,0.13291,0.13321,0.13291,0.13251,0.13311,0.13381,0.13201,0.13261,0.13261,0.13311,0.13111,0.13261,0.13161,0.13501,0.13311,0.13331,0.13111,0.13361,0.13281,0.13411,0.13291,0.13261,0.13321,0.13211,0.13321,0.13331,0.13321,0.13311,0.13291,0.13241,0.13431,0.13391,0.13511,0.13181,0.13371,0.13491,0.13311,0.13271,0.13491,0.13381,0.13321,0.13271,0.13211,0.13251,0.13311,0.13511,0.13421,0.13371,0.13151,0.13441,0.13341,0.13471,0.13361,0.13261,0.13311,0.13311,0.13361,0.13311,0.13211
