Global,-0.58821,-0.52171,-0.45791,-0.39681,-0.33841,-0.28291,-0.23001,-0.18011,-0.13301,-0.08881,-0.04751,-0.00911,0.02641,0.05901,0.08861,0.11551,0.13971,0.16121,0.18001,0.19651,0.21071,0.22281,0.23301,0.24141,0.24821,0.25371,0.25831,0.26181,0.26451,0.26661,0.26811,0.26901,0.26991,0.27061,0.27121,0.27131,0.27141,0.27171,0.27171,0.27171,0.27151,0.27181,0.27171,0.27101,0.27141,0.27161,0.27141,0.27211,0.27181,0.27151,0.27161,0.27151,0.27211,0.27101,0.27121,0.27151,0.27121,0.27111,0.27161,0.27161,0.27141,0.27171,0.27161,0.27161,0.27161,0.27081,0.27161,0.27161,0.27181,0.27211,0.27181,0.27091,0.27111,0.27241,0.27191,0.27121,0.27191,0.27201,0.27181,0.27121,0.27101,0.27111,0.27171,0.27191,0.27151,0.27111,0.27221,0.27151,0.27051,0.27211,0.27171,0.27141,0.27261,0.27141,0.27091,0.27121,0.27201,0.27151,0.27121,0.27181
SumMultiStep 1,-0.16151,0.04001,0.12361,0.15221,0.17661,0.21241,0.23581,0.25601,0.27551,0.28601,0.28991,0.28701,0.28111,0.27541,0.27091,0.26891,0.26511,0.25981,0.25711,0.25631,0.25441,0.25311,0.25331,0.25201,0.25341,0.25391,0.25331,0.25501,0.25371,0.25371,0.25491,0.25491,0.25481,0.25851,0.25571,0.25331,0.25151,0.25351,0.25301,0.25371,0.25521,0.25631,0.25731,0.25881,0.25961,0.26201,0.26041,0.25881,0.26071,0.26421,0.25991,0.26411,0.26491,0.26611,0.26781,0.26921,0.26271,0.26611,0.26921,0.26531,0.26881,0.26831,0.26791,0.26621,0.26441,0.26801,0.27021,0.27041,0.26601,0.26711,0.26611,0.27011,0.26321,0.27121,0.26841,0.26591,0.26711,0.26801,0.26791,0.26821,0.26551,0.27291,0.26591,0.26761,0.27181,0.26981,0.26771,0.26481,0.26701,0.26971,0.26901,0.26801,0.26971,0.27011,0.27031,0.27161,0.27171,0.27001,0.27251,0.26951
SumMultiStep 2,0.29021,0.20261,0.15001,0.15551,0.17711,0.20051,0.21981,0.23631,0.25131,0.26311,0.26991,0.27621,0.28141,0.28251,0.28621,0.28701,0.28581,0.28381,0.28371,0.28171,0.28001,0.27771,0.27801,0.27561,0.27771,0.27531,0.27591,0.27551,0.27291,0.27391,0.27231,0.27181,0.27211,0.27201,0.27121,0.27021,0.27041,0.27081,0.27231,0.27301,0.27261,0.27281,0.26961,0.27241,0.27171,0.27081,0.27311,0.27211,0.26821,0.27181,0.26891,0.27061,0.27131,0.27061,0.26851,0.27161,0.27171,0.26751,0.26961,0.26881,0.27071,0.26801,0.26831,0.26791,0.26861,0.26561,0.26991,0.26881,0.27031,0.26781,0.26851,0.26761,0.27301,0.26801,0.27041,0.27041,0.26901,0.26821,0.26821,0.27271,0.27161,0.26811,0.27171,0.27111,0.27281,0.26931,0.27081,0.27491,0.27111,0.26851,0.26961,0.26891,0.27191,0.27041,0.27351,0.27261,0.26801,0.27251,0.26721,0.27291
SumLocal 1,0.20791,0.12001,0.12161,0.17991,0.26331,0.34841,0.43131,0.50631,0.56951,0.61331,0.63651,0.63921,0.63011,0.61211,0.59191,0.56691,0.54271,0.51641,0.49401,0.47031,0.44441,0.42251,0.39861,0.37601,0.35071,0.33051,0.31181,0.29931,0.28341,0.27301,0.26131,0.25611,0.24731,0.24381,0.24341,0.24351,0.24121,0.24291,0.23981,0.24321,0.24261,0.24151,0.24121,0.24221,0.24251,0.22381,0.22871,0.23811,0.24171,0.24371,0.24741,0.24751,0.24961,0.24951,0.25131,0.25121,0.25321,0.25301,0.25361,0.25511,0.25661,0.25641,0.25761,0.25681,0.25811,0.26001,0.25861,0.25991,0.26071,0.26231,0.26041,0.26011,0.26271,0.26381,0.26061,0.26231,0.26141,0.26261,0.26571,0.26011,0.26281,0.26261,0.26351,0.26231,0.26461,0.26151,0.26341,0.26311,0.26471,0.26421,0.26141,0.26511,0.26301,0.26241,0.26181,0.26151,0.26281,0.26351,0.26461,0.26541
SumLocal 2,0.34751,0.26301,0.34531,0.47831,0.57041,0.61291,0.60471,0.59031,0.56761,0.54661,0.52271,0.49701,0.47151,0.44561,0.42141,0.39781,0.37361,0.34531,0.31631,0.29761,0.30051,0.30321,0.30561,0.30161,0.29761,0.29741,0.29361,0.29131,0.29101,0.29081,0.28521,0.28401,0.28291,0.28321,0.28151,0.27921,0.27911,0.27851,0.27651,0.27801,0.27741,0.27761,0.27611,0.27511,0.27281,0.27541,0.27631,0.27631,0.27471,0.27521,0.27451,0.27341,0.27441,0.27501,0.27421,0.27441,0.27221,0.27441,0.27501,0.27121,0.27381,0.27191,0.27391,0.27371,0.27441,0.27791,0.27661,0.27481,0.27201,0.27251,0.27411,0.27271,0.27741,0.27151,0.27631,0.27441,0.26951,0.27101,0.27411,0.27281,0.27631,0.27281,0.27371,0.27271,0.26781,0.27301,0.27391,0.27481,0.27321,0.27051,0.27611,0.27171,0.27141,0.27411,0.27551,0.27511,0.27231,0.27491,0.27751,0.27361
SumLocalReg,0.11031,0.29191,0.41511,0.53971,0.60411,0.60711,0.59341,0.56501,0.53791,0.50701,0.48431,0.46351,0.46941,0.46421,0.44311,0.42161,0.40951,0.39831,0.39031,0.38021,0.37211,0.36441,0.35481,0.34241,0.33631,0.33081,0.32491,0.31701,0.31181,0.30491,0.29831,0.29851,0.29301,0.29151,0.28931,0.28631,0.28431,0.28661,0.28481,0.27991,0.28211,0.28131,0.28081,0.27961,0.27801,0.27321,0.27291,0.27611,0.27441,0.27451,0.27111,0.27321,0.27341,0.27401,0.27201,0.27171,0.27541,0.27261,0.27301,0.27301,0.27311,0.27331,0.27141,0.27551,0.27191,0.27451,0.27271,0.27281,0.27341,0.27221,0.27371,0.27111,0.27391,0.27231,0.27311,0.27061,0.27071,0.27261,0.27241,0.27181,0.27201,0.27561,0.27461,0.27131,0.27401,0.27461,0.27531,0.27611,0.27211,0.27221,0.27201,0.27011,0.27441,0.26771,0.27411,0.27201,0.26901,0.27311,0.27131,0.27361
SumMultiStepReg,-0.30461,0.00401,0.16761,0.24861,0.31411,0.33951,0.35071,0.35381,0.35091,0.34161,0.32801,0.30841,0.28771,0.27111,0.26791,0.26601,0.26461,0.26131,0.26071,0.26111,0.25861,0.25961,0.25831,0.25881,0.25791,0.25601,0.25611,0.25711,0.25841,0.25871,0.25991,0.26231,0.26041,0.26301,0.26431,0.26381,0.26331,0.26481,0.26201,0.26291,0.26691,0.26541,0.26461,0.26741,0.26781,0.26481,0.26551,0.26631,0.26811,0.26431,0.26701,0.26641,0.27091,0.26841,0.26431,0.26961,0.27181,0.26951,0.26851,0.27181,0.27131,0.27231,0.27271,0.27201,0.27091,0.26871,0.27191,0.27251,0.27191,0.27041,0.26641,0.26951,0.27361,0.26541,0.26961,0.26881,0.27181,0.27011,0.27171,0.26971,0.27291,0.27261,0.27511,0.26731,0.27661,0.27091,0.27181,0.27351,0.27601,0.27071,0.26581,0.27281,0.27561,0.26741,0.26851,0.27331,0.26841,0.27281,0.27321,0.27051
