Global,0.08471,0.11101,0.13421,0.15451,0.17151,0.18561,0.19691,0.20571,0.21221,0.21681,0.22001,0.22211,0.22331,0.22411,0.22461,0.22481,0.22491,0.22501,0.22501,0.22511,0.22521,0.22521,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22521,0.22521,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22511,0.22501,0.22501,0.22511,0.22531,0.22521,0.22511,0.22511,0.22501,0.22521,0.22511,0.22521,0.22501,0.22511,0.22501,0.22531,0.22511,0.22531,0.22511,0.22521,0.22521,0.22501,0.22531,0.22531,0.22511,0.22491,0.22501,0.22501,0.22501,0.22491,0.22511,0.22521,0.22541,0.22491,0.22511,0.22501,0.22521,0.22511,0.22551,0.22481,0.22521,0.22521,0.22511,0.22531,0.22501,0.22531,0.22521,0.22471,0.22581,0.22491,0.22531,0.22481,0.22461,0.22541,0.22551,0.22491
SumMultiStep 1,0.05761,0.03501,0.03331,0.05491,0.08321,0.11051,0.13531,0.15701,0.17701,0.19441,0.20881,0.21991,0.22781,0.23231,0.23411,0.23721,0.24261,0.24681,0.24871,0.24911,0.24921,0.24921,0.24941,0.24911,0.24831,0.24691,0.24501,0.24321,0.24181,0.24041,0.23961,0.23851,0.23761,0.23651,0.23551,0.23441,0.23361,0.23251,0.23141,0.23041,0.22981,0.22911,0.22841,0.22791,0.22731,0.22701,0.22651,0.22671,0.22591,0.22561,0.22531,0.22531,0.22501,0.22491,0.22481,0.22481,0.22431,0.22451,0.22421,0.22411,0.22411,0.22411,0.22431,0.22401,0.22431,0.22391,0.22391,0.22401,0.22391,0.22421,0.22411,0.22461,0.22441,0.22411,0.22441,0.22441,0.22501,0.22491,0.22441,0.22471,0.22511,0.22481,0.22481,0.22521,0.22511,0.22551,0.22531,0.22521,0.22521,0.22511,0.22531,0.22551,0.22511,0.22511,0.22531,0.22551,0.22461,0.22561,0.22601,0.22551
SumMultiStep 2,0.25231,0.30181,0.31831,0.30531,0.28481,0.26731,0.25581,0.24991,0.24861,0.24971,0.25161,0.25371,0.25531,0.25611,0.25621,0.25561,0.25481,0.25351,0.25191,0.25081,0.24931,0.24781,0.24581,0.24451,0.24241,0.24021,0.23811,0.23691,0.23561,0.23391,0.23331,0.23371,0.23191,0.22951,0.22791,0.22741,0.22741,0.22741,0.22771,0.22771,0.22741,0.22791,0.22781,0.22801,0.22781,0.22791,0.22801,0.22811,0.22851,0.22871,0.22941,0.22931,0.22951,0.22981,0.22971,0.23051,0.23031,0.23091,0.23141,0.23221,0.23201,0.23231,0.23321,0.23321,0.23351,0.23371,0.23321,0.23341,0.23331,0.23251,0.23251,0.23191,0.23161,0.23171,0.23121,0.23091,0.23061,0.23041,0.22961,0.22921,0.22911,0.22941,0.22911,0.22931,0.22861,0.22891,0.22841,0.22821,0.22771,0.22781,0.22731,0.22761,0.22771,0.22751,0.22751,0.22721,0.22711,0.22721,0.22711,0.22751
SumLocal 1,-0.00711,0.00531,0.06341,0.12961,0.19131,0.24591,0.29401,0.33601,0.37351,0.40731,0.43711,0.46281,0.48331,0.49791,0.50681,0.50941,0.50661,0.49921,0.48841,0.47481,0.45961,0.44421,0.42881,0.41421,0.40041,0.38821,0.37671,0.36631,0.35751,0.34901,0.34091,0.33361,0.32681,0.32061,0.31411,0.30851,0.30231,0.29741,0.29191,0.28671,0.28191,0.27711,0.27301,0.26861,0.26521,0.26171,0.25871,0.25611,0.25411,0.25201,0.25021,0.24821,0.24671,0.24531,0.24391,0.24281,0.24191,0.24081,0.24001,0.23931,0.23841,0.23801,0.23731,0.23641,0.23591,0.23541,0.23501,0.23431,0.23381,0.23331,0.23231,0.23211,0.23181,0.23141,0.23101,0.23061,0.23061,0.23001,0.22971,0.22901,0.22891,0.22861,0.22851,0.22811,0.22841,0.22761,0.22731,0.22781,0.22701,0.22641,0.22651,0.22671,0.22731,0.22701,0.22631,0.22671,0.22721,0.22661,0.22571,0.22641
SumLocal 2,0.16951,0.19151,0.20291,0.21491,0.22501,0.23381,0.24591,0.26341,0.28551,0.30801,0.32991,0.35031,0.36871,0.38491,0.39891,0.41001,0.41841,0.42381,0.42671,0.42651,0.42451,0.42251,0.42311,0.42731,0.43271,0.43711,0.43831,0.43661,0.43321,0.42801,0.42091,0.41281,0.40441,0.39531,0.38641,0.37771,0.36821,0.36001,0.35101,0.34301,0.33551,0.32731,0.32111,0.31381,0.30721,0.30131,0.29541,0.29001,0.28571,0.28051,0.27621,0.27271,0.26851,0.26411,0.26051,0.25721,0.25431,0.25131,0.24891,0.24561,0.24421,0.24191,0.23991,0.23811,0.23661,0.23531,0.23421,0.23251,0.23181,0.23101,0.23011,0.23001,0.22861,0.22781,0.22771,0.22801,0.22741,0.22721,0.22781,0.22781,0.22771,0.22851,0.22881,0.22881,0.22941,0.22941,0.22991,0.23021,0.22971,0.23021,0.23021,0.22901,0.22921,0.22871,0.22901,0.22901,0.22861,0.22791,0.22811,0.22751
SumLocalReg,0.40441,0.39871,0.35891,0.33371,0.30971,0.28811,0.27451,0.26351,0.25971,0.25831,0.25051,0.25031,0.24581,0.24541,0.24291,0.24441,0.24231,0.23731,0.23601,0.23761,0.23811,0.23611,0.23451,0.23581,0.23291,0.23201,0.23211,0.22901,0.23091,0.23091,0.22941,0.22851,0.22741,0.22951,0.22771,0.22761,0.22651,0.22821,0.22811,0.22781,0.22841,0.22701,0.23041,0.22921,0.22841,0.22851,0.22831,0.22711,0.22731,0.22661,0.22691,0.22931,0.22861,0.22511,0.22801,0.22611,0.22561,0.22601,0.22681,0.22591,0.22551,0.22351,0.22821,0.22631,0.22801,0.22581,0.22501,0.22571,0.22561,0.22441,0.23001,0.22671,0.22951,0.22701,0.22641,0.22481,0.22321,0.22561,0.22341,0.22681,0.22511,0.22651,0.22901,0.22581,0.22651,0.22591,0.22421,0.22491,0.22491,0.22611,0.22421,0.22541,0.22581,0.22741,0.22551,0.22631,0.22681,0.22601,0.22561,0.22711
SumMultiStepReg,-0.31051,-0.15851,-0.05761,0.02041,0.08781,0.14501,0.19001,0.22331,0.24621,0.26101,0.26971,0.27431,0.27601,0.27571,0.27491,0.27341,0.27211,0.27161,0.27181,0.27331,0.27571,0.27751,0.27821,0.27771,0.27571,0.27411,0.27251,0.27081,0.26971,0.26921,0.26841,0.26821,0.26861,0.26801,0.26721,0.26631,0.26451,0.26231,0.26051,0.25821,0.25681,0.25471,0.25311,0.25091,0.24921,0.24771,0.24651,0.24571,0.24401,0.24241,0.24231,0.24101,0.24111,0.24051,0.23911,0.23991,0.23901,0.23691,0.23721,0.23641,0.23611,0.23611,0.23381,0.23401,0.23261,0.23241,0.23161,0.23121,0.22981,0.23101,0.22871,0.22881,0.22811,0.22891,0.22721,0.22821,0.22841,0.22751,0.22591,0.22591,0.22551,0.22691,0.22531,0.22421,0.22701,0.22491,0.22421,0.22351,0.22351,0.22451,0.22381,0.22441,0.22241,0.22401,0.22421,0.22341,0.22241,0.22271,0.22181,0.22311
