Global,1.39261,1.32531,1.26001,1.19681,1.13551,1.07641,1.01931,0.96451,0.91171,0.86121,0.81271,0.76641,0.72231,0.68041,0.64071,0.60321,0.56811,0.53531,0.50481,0.47641,0.45041,0.42651,0.40491,0.38551,0.36811,0.35261,0.33911,0.32731,0.31721,0.30871,0.30171,0.29591,0.29111,0.28741,0.28451,0.28241,0.28071,0.27941,0.27821,0.27771,0.27731,0.27691,0.27641,0.27641,0.27631,0.27631,0.27621,0.27591,0.27591,0.27601,0.27631,0.27641,0.27611,0.27611,0.27601,0.27601,0.27591,0.27611,0.27611,0.27561,0.27601,0.27611,0.27621,0.27631,0.27641,0.27571,0.27611,0.27591,0.27661,0.27671,0.27651,0.27641,0.27731,0.27651,0.27561,0.27631,0.27631,0.27671,0.27621,0.27671,0.27601,0.27631,0.27631,0.27651,0.27711,0.27681,0.27611,0.27591,0.27651,0.27591,0.27591,0.27591,0.27731,0.27631,0.27581,0.27651,0.27731,0.27631,0.27621,0.27621
SumMultiStep 1,-0.13771,-0.00761,0.07951,0.14201,0.19321,0.23611,0.27571,0.28991,0.29931,0.29551,0.27921,0.26811,0.26611,0.26281,0.25841,0.25451,0.25361,0.25251,0.25541,0.25671,0.25851,0.25991,0.26191,0.25981,0.26021,0.26141,0.26131,0.26141,0.26221,0.26281,0.26291,0.26261,0.26371,0.26311,0.26741,0.26611,0.26711,0.26691,0.26551,0.26851,0.27001,0.26931,0.26931,0.26941,0.26781,0.27181,0.27061,0.27001,0.26931,0.27191,0.27111,0.27061,0.27211,0.27151,0.26981,0.27151,0.26811,0.26931,0.27181,0.27101,0.27141,0.27131,0.26941,0.27301,0.27151,0.27051,0.27301,0.27161,0.27081,0.26921,0.26871,0.27061,0.27181,0.27041,0.26861,0.27051,0.26951,0.27111,0.26671,0.27111,0.27371,0.27021,0.27281,0.27121,0.27401,0.27521,0.26971,0.27601,0.27041,0.26981,0.27341,0.27511,0.27281,0.26951,0.27241,0.27151,0.27061,0.27361,0.27311,0.27211
SumMultiStep 2,0.94971,0.61591,0.37581,0.26251,0.23171,0.23671,0.25031,0.26331,0.27231,0.27451,0.27431,0.27651,0.27901,0.28141,0.28251,0.28371,0.28411,0.28451,0.28411,0.28361,0.28331,0.28231,0.28201,0.28051,0.28091,0.28141,0.28141,0.28141,0.28201,0.28471,0.29081,0.29151,0.28811,0.28511,0.28081,0.27761,0.27401,0.27561,0.28131,0.28451,0.28341,0.28171,0.27981,0.28081,0.27951,0.27821,0.27901,0.27851,0.27711,0.27671,0.27961,0.27531,0.27431,0.27491,0.27541,0.27361,0.27531,0.27401,0.27381,0.27461,0.27191,0.27281,0.27411,0.27101,0.27241,0.27241,0.26971,0.27031,0.27151,0.27201,0.27031,0.27101,0.27211,0.27091,0.27081,0.27071,0.27251,0.27211,0.27111,0.27201,0.27001,0.27251,0.27501,0.27121,0.27121,0.27151,0.27491,0.27181,0.27151,0.27331,0.27131,0.27131,0.27151,0.27091,0.27331,0.27081,0.27331,0.27001,0.27021,0.27421
SumLocal 1,0.16191,0.28961,0.37631,0.56431,0.71451,0.78041,0.78171,0.75341,0.70751,0.65981,0.61011,0.56881,0.52721,0.47721,0.43691,0.40381,0.37411,0.35311,0.33051,0.31351,0.29971,0.28671,0.27781,0.27041,0.26791,0.26711,0.26501,0.26351,0.26291,0.26291,0.26221,0.26081,0.25771,0.25781,0.25481,0.25741,0.25511,0.25441,0.25441,0.25421,0.25251,0.25401,0.25311,0.25641,0.25471,0.25521,0.25461,0.25691,0.25891,0.25621,0.25551,0.25861,0.25501,0.25631,0.25661,0.25891,0.25631,0.25881,0.25851,0.25991,0.26011,0.26031,0.25961,0.25931,0.26301,0.26211,0.26421,0.26341,0.26661,0.26511,0.26351,0.26411,0.26481,0.26601,0.26741,0.26891,0.26861,0.26571,0.26511,0.26751,0.26791,0.26861,0.27031,0.26851,0.26481,0.26651,0.26951,0.26411,0.27001,0.26881,0.26661,0.26681,0.26851,0.27081,0.26721,0.26661,0.26771,0.26621,0.26611,0.26981
SumLocal 2,0.30331,0.30691,0.30531,0.30411,0.30281,0.30041,0.30091,0.29911,0.29461,0.29421,0.29391,0.29091,0.39881,0.48021,0.52711,0.51961,0.55091,0.56831,0.57001,0.55311,0.52521,0.49781,0.46651,0.43651,0.40291,0.36511,0.31881,0.31931,0.30961,0.30241,0.29871,0.29281,0.28971,0.28621,0.28341,0.28161,0.28131,0.27731,0.27661,0.27731,0.27611,0.27571,0.27381,0.27491,0.27471,0.27601,0.27671,0.27371,0.27351,0.27211,0.27371,0.27201,0.27371,0.27371,0.27151,0.27361,0.27361,0.27451,0.27411,0.27471,0.27401,0.27351,0.27371,0.27331,0.27391,0.27351,0.27701,0.27131,0.27361,0.27591,0.27391,0.27311,0.27321,0.27461,0.27541,0.27721,0.27411,0.27571,0.27671,0.27641,0.27601,0.27681,0.27591,0.27391,0.27591,0.27521,0.27541,0.27391,0.27501,0.27421,0.27641,0.27701,0.27621,0.27561,0.27431,0.27831,0.27751,0.27651,0.27661,0.27481
SumLocalReg,-0.24421,0.03091,0.18031,0.26711,0.29781,0.30801,0.30921,0.51421,0.58291,0.55131,0.50631,0.46811,0.44281,0.42921,0.42221,0.40261,0.38621,0.37211,0.37231,0.37961,0.37381,0.35431,0.34151,0.33061,0.33151,0.33071,0.32271,0.32471,0.32351,0.32161,0.32321,0.32241,0.32391,0.31951,0.32171,0.31951,0.31661,0.31591,0.31471,0.31361,0.31991,0.31491,0.30901,0.31001,0.30711,0.30961,0.30631,0.30721,0.30531,0.30261,0.30131,0.30251,0.30321,0.29841,0.29801,0.30001,0.30101,0.30001,0.29971,0.29761,0.29861,0.29711,0.30051,0.29851,0.29571,0.29561,0.29941,0.30001,0.29981,0.29751,0.30021,0.29651,0.29881,0.29611,0.29831,0.29661,0.29951,0.29231,0.30121,0.29811,0.29811,0.29671,0.30301,0.29771,0.29481,0.29921,0.29631,0.29231,0.29471,0.30331,0.29571,0.30141,0.29251,0.29861,0.30031,0.29341,0.29491,0.29611,0.29531,0.29491
SumMultiStepReg,0.21671,0.20321,0.31751,0.35491,0.35841,0.32341,0.28341,0.27201,0.27171,0.27151,0.26881,0.26991,0.27151,0.26911,0.26941,0.26971,0.26911,0.27011,0.27021,0.27111,0.26951,0.27071,0.27031,0.27141,0.27131,0.26951,0.27151,0.26961,0.27171,0.27161,0.26921,0.27241,0.27191,0.26941,0.27031,0.27071,0.27231,0.27171,0.26931,0.27071,0.27041,0.27041,0.27201,0.27281,0.26911,0.27121,0.27071,0.27181,0.26971,0.26841,0.27111,0.27131,0.27211,0.27141,0.27171,0.27151,0.27281,0.27101,0.27261,0.27171,0.26961,0.26931,0.27131,0.27221,0.27301,0.27051,0.27071,0.27341,0.27101,0.27111,0.27281,0.26971,0.27101,0.26941,0.27031,0.27231,0.26981,0.27071,0.27181,0.27091,0.27421,0.27311,0.27031,0.27231,0.27141,0.27271,0.27021,0.27171,0.27251,0.27161,0.27061,0.27251,0.27261,0.26881,0.26941,0.27321,0.27221,0.27091,0.27231,0.27041
